State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
F,2023-07-25T12:29:00Z,Day,1,2023-07-25T12:29:15Z,2023-07-25T12:31:52Z,38.1400804504986,156.72
SU,2023-07-25T12:31:00Z,Day,0,2023-07-25T12:31:52Z,2023-07-25T12:32:29Z,1,37.4
F,2023-07-25T12:32:00Z,Day,1,2023-07-25T12:32:29Z,2023-07-25T12:35:37Z,32.5755756530589,187.84
SU,2023-07-25T12:35:00Z,Day,0,2023-07-25T12:35:37Z,2023-07-25T12:36:34Z,1,56.88
EF,2023-07-25T12:36:00Z,Day,0,2023-07-25T12:36:34Z,2023-07-25T12:39:21Z,32.1428842176643,167.56
EF,2023-07-25T12:39:00Z,Day,0,2023-07-25T12:39:22Z,2023-07-25T12:41:09Z,24.5550524169756,107.24
SU,2023-07-25T12:41:00Z,Day,0,2023-07-25T12:41:09Z,2023-07-25T12:42:03Z,1,53.5599999999999
F,2023-07-25T12:42:00Z,Day,1,2023-07-25T12:42:03Z,2023-07-25T12:45:50Z,35.4295799171244,227.36
SU,2023-07-25T12:45:00Z,Day,0,2023-07-25T12:45:50Z,2023-07-25T12:46:07Z,1,16.88
F,2023-07-25T12:46:00Z,Day,1,2023-07-25T12:46:07Z,2023-07-25T12:48:47Z,23.554406033689,160.08
SU,2023-07-25T12:48:00Z,Day,0,2023-07-25T12:48:47Z,2023-07-25T12:49:28Z,1,40.3599999999999
F,2023-07-25T12:49:00Z,Day,1,2023-07-25T12:49:28Z,2023-07-25T12:52:56Z,38.1785807589698,208.52
SU,2023-07-25T12:52:00Z,Day,0,2023-07-25T12:52:56Z,2023-07-25T12:53:39Z,1,43.3600000000001
EF,2023-07-25T12:53:00Z,Day,0,2023-07-25T12:53:39Z,2023-07-25T12:55:32Z,33.9855202726496,112.2
SU,2023-07-25T12:55:00Z,Day,0,2023-07-25T12:55:32Z,2023-07-25T12:55:59Z,1,27.1999999999998
F,2023-07-25T12:55:00Z,Day,1,2023-07-25T12:55:59Z,2023-07-25T12:59:09Z,30.605564167098,190.28
EF,2023-07-25T12:59:00Z,Day,0,2023-07-25T12:59:12Z,2023-07-25T13:00:44Z,26.0778286009807,92.4400000000001
SU,2023-07-25T13:00:00Z,Day,0,2023-07-25T13:00:44Z,2023-07-25T13:01:05Z,1,20.6799999999998
F,2023-07-25T13:01:00Z,Day,1,2023-07-25T13:01:05Z,2023-07-25T13:03:33Z,39.9065092724624,148.12
EF,2023-07-25T13:03:00Z,Day,0,2023-07-25T13:03:36Z,2023-07-25T13:04:20Z,19.7423398159411,44.7200000000003
SU,2023-07-25T13:04:00Z,Day,0,2023-07-25T13:04:20Z,2023-07-25T13:05:08Z,1,47.3999999999996
F,2023-07-25T13:05:00Z,Day,1,2023-07-25T13:05:08Z,2023-07-25T13:08:42Z,28.1318348173823,213.76
