State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
R,2023-07-30T16:14:00Z,Day,0,2023-07-30T16:14:17Z,2023-07-30T16:15:05Z,5.72158504447758,47.8199999999999
R,2023-07-30T16:15:00Z,Day,0,2023-07-30T16:15:08Z,2023-07-30T16:15:48Z,6.16816094894443,39.26
SU,2023-07-30T16:15:00Z,Day,0,2023-07-30T16:15:48Z,2023-07-30T16:16:22Z,1,34.36
R,2023-07-30T16:16:00Z,Day,0,2023-07-30T16:16:22Z,2023-07-30T16:19:04Z,6.94500422654922,161.6
R,2023-07-30T16:19:00Z,Day,0,2023-07-30T16:19:07Z,2023-07-30T16:22:56Z,7.20329875518044,228.78
SU,2023-07-30T16:22:00Z,Day,0,2023-07-30T16:22:56Z,2023-07-30T16:23:02Z,1,6.84000000000015
R,2023-07-30T16:23:00Z,Day,0,2023-07-30T16:23:02Z,2023-07-30T16:23:42Z,3.34661917295402,39.8399999999999
SU,2023-07-30T16:23:00Z,Day,0,2023-07-30T16:23:42Z,2023-07-30T16:23:48Z,1,5.29999999999995
R,2023-07-30T16:23:00Z,Day,0,2023-07-30T16:23:48Z,2023-07-30T16:24:19Z,3.09071810269832,31.4000000000001
R,2023-07-30T16:24:00Z,Day,0,2023-07-30T16:24:23Z,2023-07-30T16:25:37Z,4.04411088907712,74.4200000000001
SU,2023-07-30T16:25:00Z,Day,0,2023-07-30T16:25:37Z,2023-07-30T16:26:23Z,1,45.3800000000001
R,2023-07-30T16:26:00Z,Day,0,2023-07-30T16:26:23Z,2023-07-30T16:28:49Z,6.88466528825571,146.48
F,2023-07-30T16:28:00Z,Day,1,2023-07-30T16:28:53Z,2023-07-30T16:30:56Z,6.37888511230527,123.46
R,2023-07-30T16:31:00Z,Day,0,2023-07-30T16:31:00Z,2023-07-30T16:33:42Z,6.35872341512014,162.28
F,2023-07-30T16:33:00Z,Day,1,2023-07-30T16:33:45Z,2023-07-30T16:40:47Z,54.414053902327,422.5
SU,2023-07-30T16:40:00Z,Day,0,2023-07-30T16:40:47Z,2023-07-30T16:42:15Z,1,88.3800000000001
EF,2023-07-30T16:42:00Z,Day,0,2023-07-30T16:42:15Z,2023-07-30T16:42:59Z,4.47248031588186,43.6999999999998
F,2023-07-30T16:43:00Z,Day,1,2023-07-30T16:43:04Z,2023-07-30T16:44:35Z,10.3444794674431,91.7200000000003
SU,2023-07-30T16:44:00Z,Day,0,2023-07-30T16:44:35Z,2023-07-30T16:44:44Z,1,8.77999999999975
R,2023-07-30T16:44:00Z,Day,0,2023-07-30T16:44:44Z,2023-07-30T16:46:30Z,9.09954334761726,106.34
R,2023-07-30T16:46:00Z,Day,0,2023-07-30T16:46:33Z,2023-07-30T16:48:44Z,6.00295999395465,130.98
R,2023-07-30T16:48:00Z,Day,0,2023-07-30T16:48:49Z,2023-07-30T16:49:23Z,3.41209909646282,33.98
SU,2023-07-30T16:49:00Z,Day,0,2023-07-30T16:49:23Z,2023-07-30T16:49:28Z,1,5.55999999999995
