State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
F,2023-08-02T12:56:00Z,Day,1,2023-08-02T12:56:02Z,2023-08-02T12:58:00Z,58.514,118.44
F,2023-08-02T12:58:00Z,Day,1,2023-08-02T12:58:02Z,2023-08-02T12:59:31Z,55.4142139447102,88.78
EF,2023-08-02T12:59:00Z,Day,0,2023-08-02T12:59:31Z,2023-08-02T13:00:26Z,43.1483803690745,54.62
F,2023-08-02T13:00:00Z,Day,1,2023-08-02T13:00:27Z,2023-08-02T13:02:21Z,46.4610850484163,114.74
SU,2023-08-02T13:02:00Z,Day,0,2023-08-02T13:02:21Z,2023-08-02T13:03:08Z,1,47
F,2023-08-02T13:03:00Z,Day,1,2023-08-02T13:03:08Z,2023-08-02T13:06:33Z,53.3934979353151,204.26
SU,2023-08-02T13:06:00Z,Day,0,2023-08-02T13:06:33Z,2023-08-02T13:07:14Z,1,41.5199999999999
F,2023-08-02T13:07:00Z,Day,1,2023-08-02T13:07:14Z,2023-08-02T13:11:11Z,55.2080744540199,237.06
SU,2023-08-02T13:11:00Z,Day,0,2023-08-02T13:11:11Z,2023-08-02T13:11:56Z,1,44.54
F,2023-08-02T13:11:00Z,Day,1,2023-08-02T13:11:56Z,2023-08-02T13:15:02Z,51.2675711066719,186.62
SU,2023-08-02T13:15:00Z,Day,0,2023-08-02T13:15:02Z,2023-08-02T13:17:08Z,1,125.38
F,2023-08-02T13:17:00Z,Day,1,2023-08-02T13:17:08Z,2023-08-02T13:22:41Z,63.5460971395248,333.58
SU,2023-08-02T13:22:00Z,Day,0,2023-08-02T13:22:41Z,2023-08-02T13:24:38Z,1,116.74
F,2023-08-02T13:24:00Z,Day,1,2023-08-02T13:24:38Z,2023-08-02T13:32:36Z,55.8395689433228,477.54
SU,2023-08-02T13:32:00Z,Day,0,2023-08-02T13:32:36Z,2023-08-02T13:34:43Z,1,127.38
EF,2023-08-02T13:34:00Z,Day,0,2023-08-02T13:34:43Z,2023-08-02T13:41:31Z,55.0939811560725,407.62
SU,2023-08-02T13:41:00Z,Day,0,2023-08-02T13:41:31Z,2023-08-02T13:43:56Z,1,145.26
F,2023-08-02T13:43:00Z,Day,1,2023-08-02T13:43:56Z,2023-08-02T13:50:51Z,48.8700019187949,415.06
SU,2023-08-02T13:50:00Z,Day,0,2023-08-02T13:50:51Z,2023-08-02T13:51:52Z,1,60.98
R,2023-08-02T13:51:00Z,Day,0,2023-08-02T13:51:52Z,2023-08-02T13:52:26Z,8.38560645693857,34.2999999999997
SU,2023-08-02T13:52:00Z,Day,0,2023-08-02T13:52:26Z,2023-08-02T13:53:08Z,1,41.9000000000001
R,2023-08-02T13:53:00Z,Day,0,2023-08-02T13:53:08Z,2023-08-02T13:53:39Z,8.91887326120758,30.9000000000001
EF,2023-08-02T13:53:00Z,Day,0,2023-08-02T13:53:39Z,2023-08-02T14:00:28Z,55.7145401050268,409.44
SU,2023-08-02T14:00:00Z,Day,0,2023-08-02T14:00:28Z,2023-08-02T14:01:54Z,1,85.9200000000001
EF,2023-08-02T14:01:00Z,Day,0,2023-08-02T14:01:54Z,2023-08-02T14:08:47Z,53.6202049193489,412.62
SU,2023-08-02T14:08:00Z,Day,0,2023-08-02T14:08:47Z,2023-08-02T14:09:47Z,1,60.6000000000004
F,2023-08-02T14:09:00Z,Day,1,2023-08-02T14:09:47Z,2023-08-02T14:14:52Z,54.9872261181439,304.52
SU,2023-08-02T14:14:00Z,Day,0,2023-08-02T14:14:52Z,2023-08-02T14:16:14Z,1,82.4000000000005
F,2023-08-02T14:16:00Z,Day,1,2023-08-02T14:16:14Z,2023-08-02T14:22:36Z,55.8680086357006,382.32
SU,2023-08-02T14:22:00Z,Day,0,2023-08-02T14:22:36Z,2023-08-02T14:23:08Z,1,31.5199999999995
F,2023-08-02T14:23:00Z,Day,1,2023-08-02T14:23:08Z,2023-08-02T14:26:36Z,57.7497162898093,208
SU,2023-08-02T14:26:00Z,Day,0,2023-08-02T14:26:36Z,2023-08-02T14:28:00Z,1,84.1400000000003
EF,2023-08-02T14:28:00Z,Day,0,2023-08-02T14:28:00Z,2023-08-02T14:33:37Z,51.597851669505,337.1
SU,2023-08-02T14:33:00Z,Day,0,2023-08-02T14:33:37Z,2023-08-02T14:34:33Z,1,55.7199999999993
F,2023-08-02T14:34:00Z,Day,1,2023-08-02T14:34:33Z,2023-08-02T14:41:26Z,54.9177607012393,412.92
SU,2023-08-02T14:41:00Z,Day,0,2023-08-02T14:41:26Z,2023-08-02T14:41:50Z,1,24.6599999999999
F,2023-08-02T14:41:00Z,Day,1,2023-08-02T14:41:50Z,2023-08-02T14:46:19Z,56.9836902454741,269.04
