State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
EF,2024-07-23T16:18:00Z,Day,0,2024-07-23T16:18:45Z,2024-07-23T16:26:33Z,32.0134095721821,467.9
SU,2024-07-23T16:26:00Z,Day,0,2024-07-23T16:26:33Z,2024-07-23T16:27:08Z,1,34.6000000000001
F,2024-07-23T16:27:00Z,Day,1,2024-07-23T16:27:08Z,2024-07-23T16:34:46Z,27.3891461379437,458.3
SU,2024-07-23T16:34:00Z,Day,0,2024-07-23T16:34:46Z,2024-07-23T16:35:43Z,1,56.3999999999999
EF,2024-07-23T16:35:00Z,Day,0,2024-07-23T16:35:43Z,2024-07-23T16:42:58Z,27.5732398222775,435
SU,2024-07-23T16:42:00Z,Day,0,2024-07-23T16:42:58Z,2024-07-23T16:44:13Z,1,75.5
F,2024-07-23T16:44:00Z,Day,1,2024-07-23T16:44:13Z,2024-07-23T16:54:52Z,23.8354229190875,638.5
SU,2024-07-23T16:54:00Z,Day,0,2024-07-23T16:54:52Z,2024-07-23T16:56:51Z,1,119.7
EF,2024-07-23T16:56:00Z,Day,0,2024-07-23T16:56:51Z,2024-07-23T16:58:51Z,4.59463417361777,119.3
EF,2024-07-23T16:58:00Z,Day,0,2024-07-23T16:58:53Z,2024-07-23T16:59:38Z,3.23103413826299,45.0999999999999
SU,2024-07-23T16:59:00Z,Day,0,2024-07-23T16:59:38Z,2024-07-23T17:00:17Z,1,38.5
T,2024-07-23T17:00:00Z,Day,0,2024-07-23T17:00:17Z,2024-07-23T17:08:00Z,12.2748385679737,463
SU,2024-07-23T17:08:00Z,Day,0,2024-07-23T17:08:00Z,2024-07-23T17:09:43Z,1,103.2
T,2024-07-23T17:09:00Z,Day,0,2024-07-23T17:09:43Z,2024-07-23T17:12:32Z,3.09299124605768,169.1
SU,2024-07-23T17:12:00Z,Day,0,2024-07-23T17:12:32Z,2024-07-23T17:13:16Z,1,44.1999999999998
T,2024-07-23T17:13:00Z,Day,0,2024-07-23T17:13:16Z,2024-07-23T17:15:16Z,3.96291007056267,120.3
SU,2024-07-23T17:15:00Z,Day,0,2024-07-23T17:15:16Z,2024-07-23T17:15:24Z,1,7.5
T,2024-07-23T17:15:00Z,Day,0,2024-07-23T17:15:24Z,2024-07-23T17:17:25Z,3.08818018211498,120.9
SU,2024-07-23T17:17:00Z,Day,0,2024-07-23T17:17:25Z,2024-07-23T17:17:33Z,1,8.69999999999982
