State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
EF,2023-07-24T13:13:00Z,Day,0,2023-07-24T13:13:10Z,2023-07-24T13:16:13Z,53.8270988628792,182.22
SU,2023-07-24T13:16:00Z,Day,0,2023-07-24T13:16:13Z,2023-07-24T13:17:17Z,1,64.72
R,2023-07-24T13:17:00Z,Day,0,2023-07-24T13:17:17Z,2023-07-24T13:18:02Z,4.27466978112004,44.5999999999999
SU,2023-07-24T13:18:00Z,Day,0,2023-07-24T13:18:02Z,2023-07-24T13:20:02Z,1,120.56
T,2023-07-24T13:20:00Z,Day,0,2023-07-24T13:20:02Z,2023-07-24T13:25:26Z,34.328828174375,323.54
SU,2023-07-24T13:25:00Z,Day,0,2023-07-24T13:25:26Z,2023-07-24T13:26:35Z,1,68.9200000000001
T,2023-07-24T13:26:00Z,Day,0,2023-07-24T13:26:35Z,2023-07-24T13:31:01Z,22.1180345029817,266.32
SU,2023-07-24T13:31:00Z,Day,0,2023-07-24T13:31:01Z,2023-07-24T13:31:56Z,1,55.04
R,2023-07-24T13:31:00Z,Day,0,2023-07-24T13:31:56Z,2023-07-24T13:33:26Z,6.577564738672,89.5599999999999
SU,2023-07-24T13:33:00Z,Day,0,2023-07-24T13:33:26Z,2023-07-24T13:33:53Z,1,26.76
R,2023-07-24T13:33:00Z,Day,0,2023-07-24T13:33:53Z,2023-07-24T13:34:23Z,4.88098730135846,30.1600000000001
SU,2023-07-24T13:34:00Z,Day,0,2023-07-24T13:34:23Z,2023-07-24T13:34:44Z,1,21.2
T,2023-07-24T13:34:00Z,Day,0,2023-07-24T13:34:44Z,2023-07-24T13:39:21Z,23.7000627938394,277.2
SU,2023-07-24T13:39:00Z,Day,0,2023-07-24T13:39:21Z,2023-07-24T13:39:48Z,1,26.8600000000001
R,2023-07-24T13:39:00Z,Day,0,2023-07-24T13:39:48Z,2023-07-24T13:41:46Z,8.72001975243111,118.34
SU,2023-07-24T13:41:00Z,Day,0,2023-07-24T13:41:46Z,2023-07-24T13:42:43Z,1,56.2799999999997
R,2023-07-24T13:42:00Z,Day,0,2023-07-24T13:42:43Z,2023-07-24T13:44:28Z,8.5311081661077,105.4
SU,2023-07-24T13:44:00Z,Day,0,2023-07-24T13:44:28Z,2023-07-24T13:44:55Z,1,27.1199999999999
R,2023-07-24T13:44:00Z,Day,0,2023-07-24T13:44:55Z,2023-07-24T13:47:11Z,8.61461071065717,135.78
