State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
EF,2023-07-25T15:59:00Z,Day,0,2023-07-25T15:59:23Z,2023-07-25T16:03:15Z,17.2760413927373,232.44
SU,2023-07-25T16:03:00Z,Day,0,2023-07-25T16:03:15Z,2023-07-25T16:04:27Z,1,72.04
EF,2023-07-25T16:04:00Z,Day,0,2023-07-25T16:04:27Z,2023-07-25T16:07:58Z,10.0349243349982,211.32
SU,2023-07-25T16:07:00Z,Day,0,2023-07-25T16:07:58Z,2023-07-25T16:08:21Z,1,22.7199999999999
F,2023-07-25T16:08:00Z,Day,1,2023-07-25T16:08:21Z,2023-07-25T16:12:04Z,17.9705386300032,223.04
SU,2023-07-25T16:12:00Z,Day,0,2023-07-25T16:12:04Z,2023-07-25T16:13:01Z,1,56.3199999999999
EF,2023-07-25T16:13:00Z,Day,0,2023-07-25T16:13:01Z,2023-07-25T16:16:37Z,11.5710832808172,216.24
SU,2023-07-25T16:16:00Z,Day,0,2023-07-25T16:16:37Z,2023-07-25T16:17:04Z,1,26.8399999999999
F,2023-07-25T16:17:00Z,Day,1,2023-07-25T16:17:04Z,2023-07-25T16:21:59Z,11.5680855907781,295.68
SU,2023-07-25T16:21:00Z,Day,0,2023-07-25T16:21:59Z,2023-07-25T16:22:43Z,1,43.6000000000001
F,2023-07-25T16:22:00Z,Day,1,2023-07-25T16:22:43Z,2023-07-25T16:27:54Z,10.8064373047344,310.6
SU,2023-07-25T16:27:00Z,Day,0,2023-07-25T16:27:54Z,2023-07-25T16:29:04Z,1,70.1199999999999
EF,2023-07-25T16:29:00Z,Day,0,2023-07-25T16:29:04Z,2023-07-25T16:35:19Z,11.5105339497244,375.6
SU,2023-07-25T16:35:00Z,Day,0,2023-07-25T16:35:19Z,2023-07-25T16:36:20Z,1,60.5600000000004
R,2023-07-25T16:36:00Z,Day,0,2023-07-25T16:36:20Z,2023-07-25T16:40:23Z,4.21727585402042,243.44
SU,2023-07-25T16:40:00Z,Day,0,2023-07-25T16:40:23Z,2023-07-25T16:40:57Z,1,33.6800000000003
R,2023-07-25T16:40:00Z,Day,0,2023-07-25T16:40:57Z,2023-07-25T16:42:49Z,3.25713667406082,111.8
SU,2023-07-25T16:42:00Z,Day,0,2023-07-25T16:42:49Z,2023-07-25T16:43:26Z,1,37.2800000000002
R,2023-07-25T16:43:00Z,Day,0,2023-07-25T16:43:26Z,2023-07-25T16:46:13Z,4.47568300500209,166.92
SU,2023-07-25T16:46:00Z,Day,0,2023-07-25T16:46:13Z,2023-07-25T16:46:26Z,1,12.6399999999999
R,2023-07-25T16:46:00Z,Day,0,2023-07-25T16:46:26Z,2023-07-25T16:48:08Z,2.77978708415516,102.08
SU,2023-07-25T16:48:00Z,Day,0,2023-07-25T16:48:08Z,2023-07-25T16:48:55Z,1,47.7200000000003
R,2023-07-25T16:48:00Z,Day,0,2023-07-25T16:48:55Z,2023-07-25T16:51:12Z,2.84371463968604,136.84
SU,2023-07-25T16:51:00Z,Day,0,2023-07-25T16:51:12Z,2023-07-25T16:52:08Z,1,55.5599999999999
R,2023-07-25T16:52:00Z,Day,0,2023-07-25T16:52:08Z,2023-07-25T16:54:36Z,3.33601515751174,148.2
SU,2023-07-25T16:54:00Z,Day,0,2023-07-25T16:54:36Z,2023-07-25T16:55:16Z,1,40.52
R,2023-07-25T16:55:00Z,Day,0,2023-07-25T16:55:16Z,2023-07-25T16:57:58Z,3.48900505696655,161.12
SU,2023-07-25T16:57:00Z,Day,0,2023-07-25T16:57:58Z,2023-07-25T16:58:37Z,1,39.3200000000002
R,2023-07-25T16:58:00Z,Day,0,2023-07-25T16:58:37Z,2023-07-25T17:00:13Z,2.87182648890946,96.04
SU,2023-07-25T17:00:00Z,Day,0,2023-07-25T17:00:13Z,2023-07-25T17:00:58Z,1,44.7599999999998
R,2023-07-25T17:00:00Z,Day,0,2023-07-25T17:00:58Z,2023-07-25T17:04:23Z,3.24101598788735,205.76
SU,2023-07-25T17:04:00Z,Day,0,2023-07-25T17:04:23Z,2023-07-25T17:06:18Z,1,114.84
R,2023-07-25T17:06:00Z,Day,0,2023-07-25T17:06:18Z,2023-07-25T17:08:13Z,3.79706468979647,114.48
SU,2023-07-25T17:08:00Z,Day,0,2023-07-25T17:08:13Z,2023-07-25T17:08:52Z,1,39.0799999999999
T,2023-07-25T17:08:00Z,Day,0,2023-07-25T17:08:52Z,2023-07-25T17:15:04Z,11.0336354312846,372.320000000001
SU,2023-07-25T17:15:00Z,Day,0,2023-07-25T17:15:04Z,2023-07-25T17:15:30Z,1,25.7599999999993
R,2023-07-25T17:15:00Z,Day,0,2023-07-25T17:15:30Z,2023-07-25T17:17:14Z,5.45206562601597,103.96
SU,2023-07-25T17:17:00Z,Day,0,2023-07-25T17:17:14Z,2023-07-25T17:18:39Z,1,85.5600000000004
R,2023-07-25T17:18:00Z,Day,0,2023-07-25T17:18:39Z,2023-07-25T17:22:15Z,4.7690928545741,215.36
SU,2023-07-25T17:22:00Z,Day,0,2023-07-25T17:22:15Z,2023-07-25T17:22:43Z,1,28.2400000000007
F,2023-07-25T17:22:00Z,Day,1,2023-07-25T17:22:43Z,2023-07-25T17:27:40Z,12.3203761111488,297.16
SU,2023-07-25T17:27:00Z,Day,0,2023-07-25T17:27:40Z,2023-07-25T17:28:05Z,1,24.5999999999995
S,2023-07-25T17:28:00Z,Day,0,2023-07-25T17:28:05Z,2023-07-25T17:29:02Z,5.52449259089148,56.6800000000003
EF,2023-07-25T17:29:00Z,Day,0,2023-07-25T17:29:03Z,2023-07-25T17:34:55Z,15.6792997170582,351.92
EF,2023-07-25T17:34:00Z,Day,0,2023-07-25T17:34:57Z,2023-07-25T17:40:28Z,14.8030510181933,330.559999999999
SU,2023-07-25T17:40:00Z,Day,0,2023-07-25T17:40:28Z,2023-07-25T17:41:46Z,1,78
EF,2023-07-25T17:41:00Z,Day,0,2023-07-25T17:41:46Z,2023-07-25T17:46:01Z,20.8629215536264,255.76
SU,2023-07-25T17:46:00Z,Day,0,2023-07-25T17:46:01Z,2023-07-25T17:46:49Z,1,47.3599999999997
EF,2023-07-25T17:46:00Z,Day,0,2023-07-25T17:46:49Z,2023-07-25T17:48:12Z,3.40859754015784,82.7600000000002
SU,2023-07-25T17:48:00Z,Day,0,2023-07-25T17:48:12Z,2023-07-25T17:49:18Z,1,66.6400000000003
EF,2023-07-25T17:49:00Z,Day,0,2023-07-25T17:49:18Z,2023-07-25T17:54:40Z,12.9414502215695,322.2
SU,2023-07-25T17:54:00Z,Day,0,2023-07-25T17:54:40Z,2023-07-25T17:55:04Z,1,23.5199999999995
F,2023-07-25T17:55:00Z,Day,1,2023-07-25T17:55:04Z,2023-07-25T17:58:43Z,11.6299515951096,219.52
SU,2023-07-25T17:58:00Z,Day,0,2023-07-25T17:58:43Z,2023-07-25T17:59:30Z,1,46.4799999999996
EF,2023-07-25T17:59:00Z,Day,0,2023-07-25T17:59:30Z,2023-07-25T18:05:45Z,13.8719254678003,375.48
SU,2023-07-25T18:05:00Z,Day,0,2023-07-25T18:05:45Z,2023-07-25T18:06:30Z,1,44.7600000000002
EF,2023-07-25T18:06:00Z,Day,0,2023-07-25T18:06:30Z,2023-07-25T18:12:20Z,12.8756572832126,349.44
SU,2023-07-25T18:12:00Z,Day,0,2023-07-25T18:12:20Z,2023-07-25T18:12:40Z,1,19.8800000000001
EF,2023-07-25T18:12:00Z,Day,0,2023-07-25T18:12:40Z,2023-07-25T18:13:27Z,5.04733746666417,47.2799999999997
SU,2023-07-25T18:13:00Z,Day,0,2023-07-25T18:13:27Z,2023-07-25T18:14:26Z,1,58.96
EF,2023-07-25T18:14:00Z,Day,0,2023-07-25T18:14:26Z,2023-07-25T18:22:04Z,32.3172105513649,457.92
SU,2023-07-25T18:22:00Z,Day,0,2023-07-25T18:22:04Z,2023-07-25T18:22:47Z,1,43.4799999999996
T,2023-07-25T18:22:00Z,Day,0,2023-07-25T18:22:47Z,2023-07-25T18:27:09Z,12.2988145035382,262.24
SU,2023-07-25T18:27:00Z,Day,0,2023-07-25T18:27:09Z,2023-07-25T18:28:03Z,1,53.2800000000007
T,2023-07-25T18:28:00Z,Day,0,2023-07-25T18:28:03Z,2023-07-25T18:34:50Z,14.0325639038671,407.76
SU,2023-07-25T18:34:00Z,Day,0,2023-07-25T18:34:50Z,2023-07-25T18:36:05Z,1,74.2399999999998
T,2023-07-25T18:36:00Z,Day,0,2023-07-25T18:36:05Z,2023-07-25T18:42:25Z,12.9560930603108,379.880000000001
