State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
T,2023-07-31T07:37:00Z,Day,0,2023-07-31T07:37:46Z,2023-07-31T07:40:10Z,42.5087689149115,143.76
SU,2023-07-31T07:40:00Z,Day,0,2023-07-31T07:40:10Z,2023-07-31T07:40:32Z,1,21.72
F,2023-07-31T07:40:00Z,Day,1,2023-07-31T07:40:32Z,2023-07-31T07:43:28Z,69.901222778813,176.26
SU,2023-07-31T07:43:00Z,Day,0,2023-07-31T07:43:28Z,2023-07-31T07:44:14Z,1,45.72
F,2023-07-31T07:44:00Z,Day,1,2023-07-31T07:44:14Z,2023-07-31T07:46:23Z,66.0888140970051,129.6
SU,2023-07-31T07:46:00Z,Day,0,2023-07-31T07:46:23Z,2023-07-31T07:47:00Z,1,36.62
F,2023-07-31T07:47:00Z,Day,1,2023-07-31T07:47:00Z,2023-07-31T07:49:07Z,49.7680347954314,126.64
SU,2023-07-31T07:49:00Z,Day,0,2023-07-31T07:49:07Z,2023-07-31T07:49:48Z,1,41.78
F,2023-07-31T07:49:00Z,Day,1,2023-07-31T07:49:48Z,2023-07-31T07:52:48Z,61.6107223783181,180.04
SU,2023-07-31T07:52:00Z,Day,0,2023-07-31T07:52:48Z,2023-07-31T07:53:28Z,1,39.26
F,2023-07-31T07:53:00Z,Day,1,2023-07-31T07:53:28Z,2023-07-31T07:55:59Z,35.871723933736,151.28
SU,2023-07-31T07:55:00Z,Day,0,2023-07-31T07:55:59Z,2023-07-31T07:56:43Z,1,44.02
F,2023-07-31T07:56:00Z,Day,1,2023-07-31T07:56:43Z,2023-07-31T08:00:23Z,64.9866401372956,220.32
F,2023-07-31T08:00:00Z,Day,1,2023-07-31T08:00:24Z,2023-07-31T08:02:56Z,68.9474914051215,152.62
