State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
T,2023-07-31T10:36:00Z,Day,0,2023-07-31T10:36:07Z,2023-07-31T10:42:33Z,52.0915617260489,386.44
SU,2023-07-31T10:42:00Z,Day,0,2023-07-31T10:42:33Z,2023-07-31T10:43:15Z,1,41.2
EF,2023-07-31T10:43:00Z,Day,0,2023-07-31T10:43:15Z,2023-07-31T10:54:03Z,56.2435745797556,648.28
SU,2023-07-31T10:54:00Z,Day,0,2023-07-31T10:54:03Z,2023-07-31T10:55:38Z,1,94.6599999999999
T,2023-07-31T10:55:00Z,Day,0,2023-07-31T10:55:38Z,2023-07-31T10:59:45Z,15.355159430596,247.42
SU,2023-07-31T10:59:00Z,Day,0,2023-07-31T10:59:45Z,2023-07-31T11:00:56Z,1,70.46
EF,2023-07-31T11:00:00Z,Day,0,2023-07-31T11:00:56Z,2023-07-31T11:05:44Z,44.2120427866784,288.44
SU,2023-07-31T11:05:00Z,Day,0,2023-07-31T11:05:44Z,2023-07-31T11:06:46Z,1,62.1199999999999
EF,2023-07-31T11:06:00Z,Day,0,2023-07-31T11:06:46Z,2023-07-31T11:14:15Z,49.5811023809757,448.78
T,2023-07-31T11:14:00Z,Day,0,2023-07-31T11:14:15Z,2023-07-31T11:14:50Z,5.99115268688839,34.1799999999998
T,2023-07-31T11:14:00Z,Day,0,2023-07-31T11:14:51Z,2023-07-31T11:17:13Z,13.4208227667698,141.64
SU,2023-07-31T11:17:00Z,Day,0,2023-07-31T11:17:13Z,2023-07-31T11:18:00Z,1,47.54
T,2023-07-31T11:18:00Z,Day,0,2023-07-31T11:18:00Z,2023-07-31T11:22:36Z,12.8380455084173,275.2
SU,2023-07-31T11:22:00Z,Day,0,2023-07-31T11:22:36Z,2023-07-31T11:23:53Z,1,77.8200000000002
T,2023-07-31T11:23:00Z,Day,0,2023-07-31T11:23:53Z,2023-07-31T11:29:09Z,8.04998781576955,315.5
SU,2023-07-31T11:29:00Z,Day,0,2023-07-31T11:29:09Z,2023-07-31T11:30:31Z,1,82.04
EF,2023-07-31T11:30:00Z,Day,0,2023-07-31T11:30:31Z,2023-07-31T11:37:54Z,49.5986155478473,443.32
SU,2023-07-31T11:37:00Z,Day,0,2023-07-31T11:37:54Z,2023-07-31T11:38:44Z,1,49.48
T,2023-07-31T11:38:00Z,Day,0,2023-07-31T11:38:44Z,2023-07-31T11:39:15Z,3.07549690415051,30.96
T,2023-07-31T11:39:00Z,Day,0,2023-07-31T11:39:16Z,2023-07-31T11:41:46Z,6.4780480012126,150.08
