State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
F,2023-07-31T15:17:00Z,Day,1,2023-07-31T15:17:46Z,2023-07-31T15:25:05Z,72.5376330093806,439.4
F,2023-07-31T15:25:00Z,Day,1,2023-07-31T15:25:06Z,2023-07-31T15:27:39Z,73.6438603196589,153.06
SU,2023-07-31T15:27:00Z,Day,0,2023-07-31T15:27:39Z,2023-07-31T15:28:24Z,1,44.7399999999998
F,2023-07-31T15:28:00Z,Day,1,2023-07-31T15:28:24Z,2023-07-31T15:34:49Z,77.9774493855657,385.9
SU,2023-07-31T15:34:00Z,Day,0,2023-07-31T15:34:49Z,2023-07-31T15:35:18Z,1,28.2599999999998
F,2023-07-31T15:35:00Z,Day,1,2023-07-31T15:35:18Z,2023-07-31T15:40:00Z,74.3497954267291,282.12
F,2023-07-31T15:40:00Z,Day,1,2023-07-31T15:40:00Z,2023-07-31T15:40:33Z,13.8383513071624,32.52
SU,2023-07-31T15:40:00Z,Day,0,2023-07-31T15:40:33Z,2023-07-31T15:41:26Z,1,53.1600000000003
F,2023-07-31T15:41:00Z,Day,1,2023-07-31T15:41:26Z,2023-07-31T15:44:47Z,71.5394334060158,201.16
F,2023-07-31T15:44:00Z,Day,1,2023-07-31T15:44:48Z,2023-07-31T15:47:00Z,38.1980193947884,132.42
SU,2023-07-31T15:47:00Z,Day,0,2023-07-31T15:47:00Z,2023-07-31T15:47:25Z,1,24.9200000000001
T,2023-07-31T15:47:00Z,Day,0,2023-07-31T15:47:25Z,2023-07-31T15:48:34Z,8.59959523268622,68.8600000000001
SU,2023-07-31T15:48:00Z,Day,0,2023-07-31T15:48:34Z,2023-07-31T15:49:24Z,1,49.48
T,2023-07-31T15:49:00Z,Day,0,2023-07-31T15:49:24Z,2023-07-31T15:53:00Z,12.1151905038565,216.36
SU,2023-07-31T15:53:00Z,Day,0,2023-07-31T15:53:00Z,2023-07-31T15:53:48Z,1,48.5
T,2023-07-31T15:53:00Z,Day,0,2023-07-31T15:53:48Z,2023-07-31T16:02:07Z,40.4986006089531,498.46
SU,2023-07-31T16:02:00Z,Day,0,2023-07-31T16:02:07Z,2023-07-31T16:03:06Z,1,59.2400000000007
T,2023-07-31T16:03:00Z,Day,0,2023-07-31T16:03:06Z,2023-07-31T16:09:17Z,21.1481476911365,370.639999999999
SU,2023-07-31T16:09:00Z,Day,0,2023-07-31T16:09:17Z,2023-07-31T16:10:17Z,1,60.6800000000003
T,2023-07-31T16:10:00Z,Day,0,2023-07-31T16:10:17Z,2023-07-31T16:14:10Z,15.3513626225536,232.24
SU,2023-07-31T16:14:00Z,Day,0,2023-07-31T16:14:10Z,2023-07-31T16:14:56Z,1,46.8199999999997
T,2023-07-31T16:14:00Z,Day,0,2023-07-31T16:14:56Z,2023-07-31T16:18:13Z,12.0197794594193,196.34
SU,2023-07-31T16:18:00Z,Day,0,2023-07-31T16:18:13Z,2023-07-31T16:18:40Z,1,27.5600000000004
T,2023-07-31T16:18:00Z,Day,0,2023-07-31T16:18:40Z,2023-07-31T16:21:41Z,12.6042577614889,181.12
SU,2023-07-31T16:21:00Z,Day,0,2023-07-31T16:21:41Z,2023-07-31T16:22:25Z,1,43.8999999999996
T,2023-07-31T16:22:00Z,Day,0,2023-07-31T16:22:25Z,2023-07-31T16:27:16Z,12.2133340092115,290.98
SU,2023-07-31T16:27:00Z,Day,0,2023-07-31T16:27:16Z,2023-07-31T16:27:46Z,1,29.1999999999998
T,2023-07-31T16:27:00Z,Day,0,2023-07-31T16:27:46Z,2023-07-31T16:31:00Z,11.3096716805412,194.04
SU,2023-07-31T16:31:00Z,Day,0,2023-07-31T16:31:00Z,2023-07-31T16:31:29Z,1,29.4800000000005
T,2023-07-31T16:31:00Z,Day,0,2023-07-31T16:31:29Z,2023-07-31T16:34:45Z,11.3311409478767,196.36
SU,2023-07-31T16:34:00Z,Day,0,2023-07-31T16:34:45Z,2023-07-31T16:34:53Z,1,7.39999999999964
T,2023-07-31T16:34:00Z,Day,0,2023-07-31T16:34:53Z,2023-07-31T16:38:16Z,10.0923599150583,202.76
SU,2023-07-31T16:38:00Z,Day,0,2023-07-31T16:38:16Z,2023-07-31T16:38:22Z,1,6.77999999999975
T,2023-07-31T16:38:00Z,Day,0,2023-07-31T16:38:22Z,2023-07-31T16:42:23Z,9.80120487915041,240.62
SU,2023-07-31T16:42:00Z,Day,0,2023-07-31T16:42:23Z,2023-07-31T16:42:56Z,1,33.1000000000004
T,2023-07-31T16:42:00Z,Day,0,2023-07-31T16:42:56Z,2023-07-31T16:45:51Z,10.0476220719869,174.96
SU,2023-07-31T16:45:00Z,Day,0,2023-07-31T16:45:51Z,2023-07-31T16:46:20Z,1,29.0600000000004
T,2023-07-31T16:46:00Z,Day,0,2023-07-31T16:46:20Z,2023-07-31T16:50:26Z,9.73308349776815,245.679999999999
SU,2023-07-31T16:50:00Z,Day,0,2023-07-31T16:50:26Z,2023-07-31T16:50:51Z,1,25.6599999999999
T,2023-07-31T16:50:00Z,Day,0,2023-07-31T16:50:51Z,2023-07-31T16:54:21Z,8.78317818305662,209.5
SU,2023-07-31T16:54:00Z,Day,0,2023-07-31T16:54:21Z,2023-07-31T16:55:08Z,1,47.4400000000005
T,2023-07-31T16:55:00Z,Day,0,2023-07-31T16:55:08Z,2023-07-31T17:00:18Z,11.0230533574797,309.38
SU,2023-07-31T17:00:00Z,Day,0,2023-07-31T17:00:18Z,2023-07-31T17:01:05Z,1,47.6399999999994
T,2023-07-31T17:01:00Z,Day,0,2023-07-31T17:01:05Z,2023-07-31T17:06:52Z,10.7585267132745,346.74
SU,2023-07-31T17:06:00Z,Day,0,2023-07-31T17:06:52Z,2023-07-31T17:07:42Z,1,50.3000000000011
T,2023-07-31T17:07:00Z,Day,0,2023-07-31T17:07:42Z,2023-07-31T17:11:25Z,9.63976347938113,222.08
SU,2023-07-31T17:11:00Z,Day,0,2023-07-31T17:11:25Z,2023-07-31T17:11:56Z,1,30.9799999999996
T,2023-07-31T17:11:00Z,Day,0,2023-07-31T17:11:56Z,2023-07-31T17:15:36Z,10.0731441113379,220.76
SU,2023-07-31T17:15:00Z,Day,0,2023-07-31T17:15:36Z,2023-07-31T17:15:43Z,1,6.45999999999913
T,2023-07-31T17:15:00Z,Day,0,2023-07-31T17:15:43Z,2023-07-31T17:19:41Z,9.81418895211462,238.26
SU,2023-07-31T17:19:00Z,Day,0,2023-07-31T17:19:41Z,2023-07-31T17:20:31Z,1,49.6400000000012
T,2023-07-31T17:20:00Z,Day,0,2023-07-31T17:20:31Z,2023-07-31T17:23:49Z,10.3559141931302,198.719999999999
SU,2023-07-31T17:23:00Z,Day,0,2023-07-31T17:23:49Z,2023-07-31T17:23:57Z,1,7.29999999999927
