Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,7180.3,bp230724 10Hzprh.mat
5,10,1318.5,bp230724 10Hzprh.mat
10,15,1238,bp230724 10Hzprh.mat
15,20,1299.4,bp230724 10Hzprh.mat
20,25,910.9,bp230724 10Hzprh.mat
25,30,252.2,bp230724 10Hzprh.mat
30,35,149.1,bp230724 10Hzprh.mat
35,40,135.5,bp230724 10Hzprh.mat
40,45,196.7,bp230724 10Hzprh.mat
45,50,0,bp230724 10Hzprh.mat
50,55,0,bp230724 10Hzprh.mat
55,60,0,bp230724 10Hzprh.mat
60,65,0,bp230724 10Hzprh.mat
65,70,0,bp230724 10Hzprh.mat
70,75,0,bp230724 10Hzprh.mat
75,80,0,bp230724 10Hzprh.mat
80,85,0,bp230724 10Hzprh.mat
85,90,0,bp230724 10Hzprh.mat
90,95,0,bp230724 10Hzprh.mat
95,100,0,bp230724 10Hzprh.mat
