Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,10137.32,bp23_212e_prh50_auto.mat
5,10,24901.66,bp23_212e_prh50_auto.mat
10,15,4046.28,bp23_212e_prh50_auto.mat
15,20,1073.06,bp23_212e_prh50_auto.mat
20,25,663.18,bp23_212e_prh50_auto.mat
25,30,478.68,bp23_212e_prh50_auto.mat
30,35,692.54,bp23_212e_prh50_auto.mat
35,40,1340.02,bp23_212e_prh50_auto.mat
40,45,1291.32,bp23_212e_prh50_auto.mat
45,50,1093.76,bp23_212e_prh50_auto.mat
50,55,764.72,bp23_212e_prh50_auto.mat
55,60,725.52,bp23_212e_prh50_auto.mat
60,65,558.16,bp23_212e_prh50_auto.mat
65,70,629.38,bp23_212e_prh50_auto.mat
70,75,957.24,bp23_212e_prh50_auto.mat
75,80,599.92,bp23_212e_prh50_auto.mat
80,85,385.78,bp23_212e_prh50_auto.mat
85,90,420.72,bp23_212e_prh50_auto.mat
90,95,513.14,bp23_212e_prh50_auto.mat
95,100,465.4,bp23_212e_prh50_auto.mat
