Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,24484.06,bp23_213c_prh50_auto.mat
5,10,5052.02,bp23_213c_prh50_auto.mat
10,15,1126.96,bp23_213c_prh50_auto.mat
15,20,860.02,bp23_213c_prh50_auto.mat
20,25,608.58,bp23_213c_prh50_auto.mat
25,30,1228.22,bp23_213c_prh50_auto.mat
30,35,923.62,bp23_213c_prh50_auto.mat
35,40,928.78,bp23_213c_prh50_auto.mat
40,45,940.92,bp23_213c_prh50_auto.mat
45,50,606.5,bp23_213c_prh50_auto.mat
50,55,579.42,bp23_213c_prh50_auto.mat
55,60,986.24,bp23_213c_prh50_auto.mat
60,65,420.52,bp23_213c_prh50_auto.mat
65,70,94.12,bp23_213c_prh50_auto.mat
70,75,44.26,bp23_213c_prh50_auto.mat
75,80,30.04,bp23_213c_prh50_auto.mat
80,85,30.12,bp23_213c_prh50_auto.mat
85,90,0,bp23_213c_prh50_auto.mat
90,95,0,bp23_213c_prh50_auto.mat
95,100,0,bp23_213c_prh50_auto.mat
