Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,1860.84,bp24_207a_prh50_auto.mat
5,10,612.1,bp24_207a_prh50_auto.mat
10,15,373.06,bp24_207a_prh50_auto.mat
15,20,412.4,bp24_207a_prh50_auto.mat
20,25,432.3,bp24_207a_prh50_auto.mat
25,30,476.32,bp24_207a_prh50_auto.mat
30,35,555.68,bp24_207a_prh50_auto.mat
35,40,598.44,bp24_207a_prh50_auto.mat
40,45,825.56,bp24_207a_prh50_auto.mat
45,50,1195.78,bp24_207a_prh50_auto.mat
50,55,1189.92,bp24_207a_prh50_auto.mat
55,60,958.24,bp24_207a_prh50_auto.mat
60,65,769.48,bp24_207a_prh50_auto.mat
65,70,151.9,bp24_207a_prh50_auto.mat
70,75,0.06,bp24_207a_prh50_auto.mat
75,80,0,bp24_207a_prh50_auto.mat
80,85,0,bp24_207a_prh50_auto.mat
85,90,0,bp24_207a_prh50_auto.mat
90,95,0,bp24_207a_prh50_auto.mat
95,100,0,bp24_207a_prh50_auto.mat
