Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,313.32,bp24_207b_prh50_auto.mat
5,10,85.04,bp24_207b_prh50_auto.mat
10,15,75.66,bp24_207b_prh50_auto.mat
15,20,85.6,bp24_207b_prh50_auto.mat
20,25,114.96,bp24_207b_prh50_auto.mat
25,30,190.78,bp24_207b_prh50_auto.mat
30,35,298.92,bp24_207b_prh50_auto.mat
35,40,472.28,bp24_207b_prh50_auto.mat
40,45,5.86,bp24_207b_prh50_auto.mat
45,50,0,bp24_207b_prh50_auto.mat
50,55,0,bp24_207b_prh50_auto.mat
55,60,0,bp24_207b_prh50_auto.mat
60,65,0,bp24_207b_prh50_auto.mat
65,70,0,bp24_207b_prh50_auto.mat
70,75,0,bp24_207b_prh50_auto.mat
75,80,0,bp24_207b_prh50_auto.mat
80,85,0,bp24_207b_prh50_auto.mat
85,90,0,bp24_207b_prh50_auto.mat
90,95,0,bp24_207b_prh50_auto.mat
95,100,0,bp24_207b_prh50_auto.mat
